countyname,mo,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Adams,June,26,1,3.8461538461538463,23,2,8.695652173913043,126.086956521739
Ashland,June,30,0,0,29,0,0,0
Barron,June,42,0,0,39,0,0,0
Bayfield,June,20,0,0,16,0,0,0
Brown,June,294,0,0,189,0,0,0
Buffalo,June,33,0,0,20,0,0,0
Burnett,June,22,1,4.545454545454546,17,0,0,-100
Calumet,June,55,1,1.8181818181818181,40,0,0,-100
Chippewa,June,100,0,0,84,1,1.1904761904761905,Inf
Clark,June,42,1,2.380952380952381,31,0,0,-100
Columbia,June,88,1,1.1363636363636365,95,0,0,-100
Crawford,June,27,1,3.7037037037037037,16,0,0,-100
Dane,June,978,0,0,487,0,0,0
Dodge,June,135,3,2.2222222222222223,96,1,1.0416666666666667,-53.125
Door,June,47,1,2.127659574468085,38,1,2.6315789473684212,23.6842105263158
Douglas,June,56,0,0,41,0,0,0
Dunn,June,78,2,2.5641025641025643,45,0,0,-100
Eau claire,June,224,0,0,131,1,0.7633587786259542,Inf
Florence,June,6,0,0,3,0,0,0
Fond du lac,June,217,0,0,123,0,0,0
Forest,June,8,0,0,10,0,0,0
Grant,June,108,1,0.9259259259259259,89,2,2.247191011235955,142.696629213483
Green,June,58,0,0,38,1,2.6315789473684212,Inf
Green lake,June,33,0,0,27,0,0,0
Iowa,June,36,1,2.7777777777777777,30,1,3.3333333333333335,20
Iron,June,7,0,0,3,0,0,0
Jackson,June,48,0,0,45,0,0,0
Jefferson,June,143,0,0,141,1,0.7092198581560284,Inf
Juneau,June,69,0,0,54,0,0,0
Kenosha,June,342,0,0,239,0,0,0
Kewaunee,June,35,1,2.857142857142857,23,0,0,-100
La crosse,June,284,0,0,149,1,0.6711409395973155,Inf
Lafayette,June,44,0,0,33,0,0,0
Langlade,June,32,0,0,26,0,0,0
Lincoln,June,58,0,0,46,1,2.1739130434782608,Inf
Manitowoc,June,169,2,1.183431952662722,115,0,0,-100
Marathon,June,237,1,0.4219409282700422,156,1,0.6410256410256411,51.9230769230769
Marinette,June,88,2,2.272727272727273,66,0,0,-100
Marquette,June,40,0,0,20,0,0,0
Menominee,June,4,0,0,8,1,12.5,Inf
Milwaukee,June,2327,2,0.08594757198109153,1776,4,0.22522522522522523,162.04954954955
Monroe,June,115,1,0.8695652173913043,96,0,0,-100
Oconto,June,63,1,1.5873015873015872,33,1,3.0303030303030303,90.9090909090909
Oneida,June,48,0,0,45,0,0,0
Outagamie,June,322,3,0.9316770186335404,215,1,0.46511627906976744,-50.077519379845
Ozaukee,June,148,1,0.6756756756756757,91,1,1.098901098901099,62.6373626373627
Pepin,June,6,0,0,5,0,0,0
Pierce,June,35,0,0,43,1,2.3255813953488373,Inf
Polk,June,34,0,0,34,1,2.9411764705882355,Inf
Portage,June,114,0,0,83,0,0,0
Price,June,13,0,0,10,0,0,0
Racine,June,434,1,0.2304147465437788,333,3,0.9009009009009009,290.990990990991
Richland,June,39,0,0,27,1,3.7037037037037037,Inf
Rock,June,315,2,0.6349206349206349,263,2,0.7604562737642585,19.7718631178707
Rusk,June,10,1,10,9,1,11.11111111111111,11.1111111111111
Sauk,June,159,1,0.6289308176100629,93,0,0,-100
Sawyer,June,25,0,0,18,1,5.555555555555555,Inf
Shawano,June,98,0,0,83,1,1.2048192771084338,Inf
Sheboygan,June,207,2,0.966183574879227,192,1,0.5208333333333334,-46.09375
St. croix,June,202,0,0,153,0,0,0
Taylor,June,28,0,0,18,0,0,0
Trempealeau,June,46,0,0,36,0,0,0
Vernon,June,70,0,0,38,0,0,0
Vilas,June,26,1,3.8461538461538463,20,0,0,-100
Walworth,June,186,1,0.5376344086021505,154,0,0,-100
Washburn,June,26,1,3.8461538461538463,25,1,4,4
Washington,June,266,1,0.37593984962406013,196,0,0,-100
Waukesha,June,704,1,0.14204545454545456,396,2,0.5050505050505051,255.555555555556
Waupaca,June,100,0,0,55,2,3.6363636363636362,Inf
Waushara,June,37,1,2.7027027027027026,46,1,2.1739130434782608,-19.5652173913044
Winnebago,June,275,1,0.36363636363636365,218,0,0,-100
Wood,June,96,0,0,70,2,2.857142857142857,Inf
