countyname,mo,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Ada,June,545,1,0.18,NA,NA,NA,
Adams,June,5,1,20,NA,NA,NA,
Bannock,June,125,2,1.6,NA,NA,NA,
Bear lake,June,9,NA,NA,NA,NA,NA,
Benewah,June,15,0,0,NA,NA,NA,
Bingham,June,44,0,0,NA,NA,NA,
Blaine,June,25,2,8,NA,NA,NA,
Boise,June,16,0,0,NA,NA,NA,
Bonner,June,31,0,0,NA,NA,NA,
Bonneville,June,129,0,0,NA,NA,NA,
Boundary,June,12,0,0,NA,NA,NA,
Butte,June,3,1,33.33,NA,NA,NA,
Camas,June,7,NA,NA,NA,NA,NA,
Canyon,June,312,1,0.32,NA,NA,NA,
Caribou,June,9,0,0,NA,NA,NA,
Cassia,June,28,0,0,NA,NA,NA,
Clark,June,5,NA,NA,NA,NA,NA,
Clearwater,June,6,0,0,NA,NA,NA,
Custer,June,4,1,25,NA,NA,NA,
Elmore,June,31,0,0,NA,NA,NA,
Franklin,June,9,2,22.22,NA,NA,NA,
Fremont,June,14,0,0,NA,NA,NA,
Gem,June,19,0,0,NA,NA,NA,
Gooding,June,14,0,0,NA,NA,NA,
Idaho,June,21,0,0,NA,NA,NA,
Jefferson,June,21,0,0,NA,NA,NA,
Jerome,June,29,1,3.45,NA,NA,NA,
Kootenai,June,178,2,1.12,NA,NA,NA,
Latah,June,45,0,0,NA,NA,NA,
Lemhi,June,18,1,5.56,NA,NA,NA,
Lewis,June,6,0,0,NA,NA,NA,
Lincoln,June,9,0,0,NA,NA,NA,
Madison,June,50,0,0,NA,NA,NA,
Minidoka,June,18,1,5.56,NA,NA,NA,
Nez perce,June,72,0,0,NA,NA,NA,
Oneida,June,8,0,0,NA,NA,NA,
Owyhee,June,9,0,0,NA,NA,NA,
Payette,June,26,0,0,NA,NA,NA,
Power,June,14,NA,NA,NA,NA,NA,
Shoshone,June,11,0,0,NA,NA,NA,
Teton,June,6,1,16.67,NA,NA,NA,
Twin falls,June,107,0,0,NA,NA,NA,
Valley,June,23,1,4.35,NA,NA,NA,
Washington,June,6,0,0,NA,NA,NA,
